"population","focal_vr","focal_cov","focal_min_max","projection","lambda","focal_vr_full","focal_cov_full","focal_cov_cat"
"Vertedero","non_repro_survival","dens","min",2,0.865794122313995,"Non-reproductive
survival","Aboveground density of
large individuals","Density"
"Bujeo","repro_survival","dens","min",2,0.847238405029096,"Reproductive
survival","Aboveground density of
large individuals","Density"
"Prisoneros","repro_survival","dens","min",2,0.710096496140969,"Reproductive
survival","Aboveground density of
large individuals","Density"
"Retin","repro_survival","dens","min",2,0.951248574599184,"Reproductive
survival","Aboveground density of
large individuals","Density"
"MonteraTorero","repro_survival","dens","min",2,0.927911720879696,"Reproductive
survival","Aboveground density of
large individuals","Density"
"SCarbDist","repro_survival","dens","min",2,0.899755647585555,"Reproductive
survival","Aboveground density of
large individuals","Density"
"SierraCarboneraY5","repro_survival","dens","min",2,0.821285768946769,"Reproductive
survival","Aboveground density of
large individuals","Density"
"SierraRetinY5","repro_survival","dens","min",2,0.896986383169335,"Reproductive
survival","Aboveground density of
large individuals","Density"
"Vertedero","repro_survival","dens","min",2,0.868235773047473,"Reproductive
survival","Aboveground density of
large individuals","Density"
"Bujeo","flowering","dens","min",2,2.07342257929819,"Reproduction","Aboveground density of
large individuals","Density"
"Prisoneros","flowering","dens","min",2,0.591348006723896,"Reproduction","Aboveground density of
large individuals","Density"
"Retin","flowering","dens","min",2,1.0118030883521,"Reproduction","Aboveground density of
large individuals","Density"
"MonteraTorero","flowering","dens","min",2,0.969351532470127,"Reproduction","Aboveground density of
large individuals","Density"
"SCarbDist","flowering","dens","min",2,1.05199589722166,"Reproduction","Aboveground density of
large individuals","Density"
"SierraCarboneraY5","flowering","dens","min",2,0.853842658952024,"Reproduction","Aboveground density of
large individuals","Density"
"SierraRetinY5","flowering","dens","min",2,0.84169602931391,"Reproduction","Aboveground density of
large individuals","Density"
"Vertedero","flowering","dens","min",2,0.84255671248478,"Reproduction","Aboveground density of
large individuals","Density"
"Bujeo","non_repro_survival","summerT","max",2,1.07624086636957,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"Prisoneros","non_repro_survival","summerT","max",2,0.970501234577304,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"Retin","non_repro_survival","summerT","max",2,0.935840571799337,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"MonteraTorero","non_repro_survival","summerT","max",2,0.9903865606145,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"SCarbDist","non_repro_survival","summerT","max",2,0.976734198917485,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"SierraCarboneraY5","non_repro_survival","summerT","max",2,0.848051165110428,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"SierraRetinY5","non_repro_survival","summerT","max",2,0.85475089745131,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"Vertedero","non_repro_survival","summerT","max",2,0.815464138173248,"Non-reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"Bujeo","repro_survival","summerT","max",2,0.809271276175239,"Reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"Prisoneros","repro_survival","summerT","max",2,0.961346911262907,"Reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"Retin","repro_survival","summerT","max",2,1.21438003898206,"Reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"MonteraTorero","repro_survival","summerT","max",2,0.937509177361991,"Reproductive
survival","Next summer mean max.
daily temperature","Temperature"
"SCarbDist","repro_survival","summerT","max",2,0.974521826902606,"Reproductive
survival","Next summer mean max.
daily temperature","Temperature"
